Age,Mean,Std
518.750000,0.714443,0.048952
521.980000,0.737536,0.045341
525.210000,0.657834,0.050844
528.440000,0.738354,0.045308
531.670000,0.624905,0.053657
534.900000,0.675728,0.049966
541.600000,0.504076,0.063150
554.740000,0.649679,0.051478
562.620000,0.672734,0.049844
566.980000,0.653669,0.051280
571.350000,0.753546,0.044443
575.710000,0.741219,0.045251
580.070000,0.683433,0.049387
584.440000,0.779131,0.042917
588.800000,0.707194,0.047692
593.160000,0.670829,0.049546
597.530000,0.645528,0.052645
601.890000,0.580501,0.056442
606.580000,0.701508,0.049023
610.950000,0.686451,0.048797
615.310000,0.623805,0.053147
619.670000,0.617582,0.054200
624.760000,0.533284,0.060352
629.900000,0.563601,0.057801
635.040000,0.495242,0.063008
640.190000,0.307502,0.080953
645.330000,0.491455,0.063834
650.470000,0.495252,0.063836
655.610000,0.476416,0.064635
660.760000,0.473769,0.065222
665.900000,0.541603,0.059711
676.190000,0.591584,0.056143
681.330000,0.612268,0.054342
686.470000,0.555451,0.058686
691.610000,0.673571,0.049956
696.760000,0.691115,0.048893
701.900000,0.708237,0.047480
707.040000,0.706492,0.047520
711.810000,0.673554,0.050430
716.060000,0.664773,0.050926
720.310000,0.668744,0.049908
724.560000,0.477920,0.064577
728.810000,0.627051,0.053665
733.060000,0.691198,0.048396
737.310000,0.652784,0.052293
741.560000,0.597060,0.055237
745.820000,0.559029,0.058265
750.120000,0.537770,0.060086
754.410000,0.676581,0.049554
758.700000,0.626056,0.052790
763.000000,0.722049,0.046659
767.290000,0.710973,0.047071
771.580000,0.708102,0.047169
775.870000,0.657724,0.052028
780.170000,0.658848,0.050835
784.460000,0.669638,0.050521
788.360000,0.615554,0.054003
790.430000,0.697771,0.048169
792.490000,0.480226,0.064854
794.550000,0.486617,0.064662
796.620000,0.550805,0.059205
798.680000,0.458277,0.066625
800.750000,0.523781,0.061373
802.810000,0.499204,0.062825
804.880000,0.550780,0.058391
806.940000,0.475113,0.064997
809.010000,0.481581,0.064682
811.070000,0.507822,0.062979
813.140000,0.516252,0.061468
815.200000,0.622817,0.053176
817.260000,0.599843,0.056809
819.330000,0.611223,0.054402
822.760000,0.639317,0.053647
826.850000,0.694966,0.048592
830.940000,0.675535,0.049857
835.030000,0.682564,0.048983
839.120000,0.638732,0.053265
843.200000,0.623569,0.054014
847.290000,0.711182,0.047369
851.380000,0.628854,0.053609
855.470000,0.694864,0.049772
859.560000,0.674563,0.049966
863.650000,0.678455,0.049906
867.980000,0.590235,0.056103
872.630000,0.475110,0.064829
877.290000,0.494125,0.063441
881.940000,0.473820,0.065742
886.600000,0.515351,0.061914
891.250000,0.359420,0.076679
896.200000,0.628265,0.052752
900.850000,0.592511,0.055967
905.510000,0.590664,0.056792
910.160000,0.616347,0.054081
914.810000,0.482823,0.064582
919.470000,0.458494,0.066870
924.120000,0.465991,0.066584
928.780000,0.598264,0.055275
931.560000,0.665895,0.050270
933.670000,0.712984,0.047359
935.780000,0.667544,0.050611
937.900000,0.741163,0.045138
940.010000,0.756891,0.044457
942.120000,0.808679,0.040810
944.240000,0.767946,0.043658
946.350000,0.805634,0.040892
948.460000,0.747237,0.046705
950.580000,0.757826,0.045021
952.690000,0.778440,0.042536
954.800000,0.749871,0.046421
956.920000,0.767284,0.043440
959.170000,0.751710,0.044197
961.570000,0.607837,0.055333
963.970000,0.598078,0.055218
966.370000,0.603663,0.054380
968.770000,0.602448,0.055750
971.170000,0.684587,0.049001
973.570000,0.782497,0.042492
975.970000,0.751863,0.044430
978.370000,0.666681,0.050480
980.770000,0.591472,0.055928
982.770000,0.596962,0.055842
984.360000,0.578401,0.057039
985.950000,0.678530,0.049711
987.540000,0.605724,0.055102
989.120000,0.664624,0.051001
990.710000,0.622893,0.053939
992.300000,0.700629,0.048358
993.880000,0.713696,0.047223
995.470000,0.773243,0.043513
997.060000,0.785963,0.042474
998.650000,0.767339,0.043866
1000.230000,0.768172,0.043514
1001.820000,0.770740,0.043458
1003.410000,0.690551,0.049435
1005.000000,0.696161,0.048867
1006.580000,0.557720,0.059180
1008.170000,0.671680,0.050056
1009.760000,0.693215,0.048285
1011.350000,0.697618,0.048302
1012.930000,0.723805,0.047147
1014.520000,0.748242,0.044834
1016.110000,0.748263,0.045073
1017.690000,0.768231,0.043408
1019.280000,0.694800,0.049558
1020.870000,0.705421,0.047508
1022.460000,0.758771,0.044304
1024.040000,0.773982,0.043655
1025.630000,0.800723,0.041609
1027.220000,0.782428,0.043513
1028.810000,0.783991,0.042655
1031.980000,0.701649,0.048777
1034.440000,0.680607,0.050266
1036.820000,0.658799,0.051025
1039.300000,0.664996,0.050554
1041.770000,0.633057,0.053091
1044.250000,0.613360,0.054487
1046.720000,0.529562,0.060873
1049.200000,0.546035,0.059652
1051.670000,0.542637,0.059720
1054.140000,0.557797,0.058777
1059.090000,0.707026,0.048477
1063.230000,0.833951,0.039702
1064.710000,0.792415,0.042692
1066.200000,0.749020,0.044954
1067.680000,0.719244,0.047015
1069.170000,0.755924,0.044397
1070.650000,0.738166,0.047370
1072.140000,0.781931,0.043080
1073.630000,0.809564,0.040822
1075.110000,0.836334,0.041265
1076.600000,0.821629,0.039867
1078.080000,0.836357,0.039174
1079.570000,0.807853,0.040689
1081.050000,0.788316,0.042617
1082.540000,0.774155,0.042800
1084.030000,0.793270,0.041772
1085.510000,0.761064,0.045077
1087.000000,0.768799,0.044157
1088.940000,0.736485,0.046573
1091.830000,0.754296,0.044026
1094.720000,0.689321,0.048744
1097.610000,0.579220,0.056354
1100.510000,0.604584,0.054585
1103.400000,0.622997,0.053542
1112.070000,0.751655,0.044454
1114.960000,0.713842,0.047071
1117.860000,0.717478,0.046447
1121.910000,0.703595,0.047861
1126.020000,0.602414,0.055266
1130.140000,0.611229,0.054007
1134.250000,0.645748,0.051654
1138.370000,0.608146,0.054838
1142.480000,0.724632,0.047551
1146.590000,0.753466,0.044709
1150.710000,0.745696,0.045773
1154.820000,0.641361,0.053103
1158.940000,0.741992,0.045320
1163.050000,0.696821,0.048621
1167.170000,0.758708,0.046479
1171.280000,0.611201,0.054422
1175.390000,0.668685,0.050947
1179.510000,0.719502,0.047758
1183.620000,0.737562,0.045588
1187.740000,0.698886,0.048039
1191.470000,0.713548,0.047545
1194.750000,0.677631,0.049490
1198.020000,0.631452,0.053546
1201.290000,0.626038,0.053092
1204.560000,0.561475,0.057855
1207.840000,0.495203,0.064002
1211.110000,0.566899,0.057466
1214.380000,0.687409,0.049261
1217.650000,0.717570,0.046610
1220.930000,0.755249,0.044926
1224.200000,0.751829,0.045226
1227.470000,0.688290,0.048690
1230.750000,0.745376,0.045134
1234.020000,0.731309,0.046379
1237.290000,0.749907,0.045229
1240.560000,0.675495,0.049658
1243.840000,0.639583,0.053090
1248.490000,0.560926,0.060203
1253.220000,0.580586,0.056401
1257.950000,0.612216,0.054526
1262.670000,0.738245,0.045819
1267.400000,0.745660,0.046061
1272.130000,0.745320,0.046029
1276.850000,0.736756,0.045972
1281.580000,0.705194,0.047654
1291.040000,0.606845,0.054905
1295.760000,0.518790,0.061328
1300.490000,0.645732,0.052436
1305.220000,0.677998,0.049371
1309.950000,0.784890,0.042271
1314.670000,0.753456,0.044498
1319.400000,0.748320,0.044578
1323.220000,0.662839,0.050021
1325.930000,0.679651,0.049717
1328.640000,0.598120,0.055320
1331.350000,0.477638,0.064664
1334.060000,0.618883,0.054177
1336.770000,0.657759,0.050930
1339.480000,0.723942,0.046262
1342.190000,0.767262,0.044024
1344.900000,0.784970,0.042399
1347.610000,0.680579,0.049717
1350.320000,0.632153,0.053220
1353.030000,0.727484,0.046381
1355.740000,0.702733,0.048104
1358.450000,0.750487,0.045061
1361.150000,0.725842,0.046879
1363.860000,0.759426,0.044228
1367.620000,0.714654,0.047295
1371.430000,0.712095,0.048377
1375.240000,0.610188,0.054648
1379.050000,0.525974,0.061067
1382.860000,0.600433,0.056169
1386.670000,0.694153,0.048465
1390.480000,0.753247,0.044992
1394.290000,0.779939,0.042886
1398.100000,0.688007,0.050744
