LR04_age (kyrs),eNd,Max Error  (2SE)
681.33,-8.57,0.19
686.47,-8.06,0.19
691.61,-9.17,0.20
696.76,-9.35,0.21
701.90,-9.53,0.18
707.04,-9.51,0.18
711.81,-9.17,0.24
716.06,-9.08,0.22
720.31,-9.12,0.17
724.56,-7.42,0.17
728.81,-8.71,0.23
733.06,-9.35,0.17
737.31,-8.96,0.24
741.56,-8.43,0.17
745.82,-8.09,0.18
750.12,-7.91,0.19
754.41,-9.20,0.17
758.70,-8.70,0.15
763.00,-9.68,0.20
767.29,-9.56,0.17
771.58,-9.53,0.17
775.87,-9.01,0.26
780.17,-9.02,0.17
784.46,-9.13,0.22
788.36,-8.60,0.19
790.43,-9.42,0.18
792.49,-7.44,0.19
794.55,-7.49,0.23
796.62,-8.02,0.20
798.68,-7.27,0.18
800.75,-7.79,0.20
802.81,-7.59,0.17
804.88,-8.02,0.15
806.94,-7.40,0.17
809.01,-7.45,0.20
811.07,-7.66,0.23
813.14,-7.73,0.17
815.20,-8.67,0.16
817.26,-8.46,0.28
819.33,-8.56,0.20
822.76,-8.83,0.26
826.85,-9.39,0.20
830.94,-9.19,0.21
835.03,-9.26,0.17
839.12,-8.82,0.26
843.20,-8.68,0.23
847.29,-9.56,0.20
851.38,-8.73,0.21
855.47,-9.39,0.28
859.56,-9.18,0.19
863.65,-9.22,0.22
867.98,-8.37,0.20
872.63,-7.40,0.17
877.29,-7.55,0.18
881.94,-7.39,0.21
886.60,-7.72,0.20
891.25,-6.56,0.22
896.20,-8.72,0.15
900.85,-8.39,0.21
905.51,-8.37,0.24
910.16,-8.61,0.19
914.81,-7.46,0.20
919.47,-7.27,0.20
924.12,-7.33,0.21
928.78,-8.44,0.18
931.56,-9.09,0.18
933.67,-9.58,0.20
935.78,-9.11,0.23
937.90,-9.89,0.19
940.01,-10.07,0.21
942.12,-10.69,0.18
944.24,-10.20,0.22
946.35,-10.65,0.17
948.46,-9.96,0.31
950.58,-10.08,0.27
952.69,-10.32,0.17
954.80,-9.99,0.31
956.92,-10.19,0.18
959.17,-10.01,0.16
961.57,-8.53,0.23
963.97,-8.44,0.20
966.37,-8.49,0.15
968.77,-8.48,0.23
971.17,-9.28,0.18
973.57,-10.37,0.19
975.97,-10.01,0.19
978.37,-9.10,0.19
980.77,-8.38,0.20
982.77,-8.43,0.22
984.36,-8.26,0.20
985.95,-9.22,0.21
987.54,-8.51,0.22
989.12,-9.08,0.23
990.71,-8.67,0.21
992.30,-9.45,0.23
993.88,-9.59,0.21
995.47,-10.26,0.22
997.06,-10.41,0.21
998.65,-10.19,0.22
1000.23,-10.20,0.19
1001.82,-10.23,0.21
1003.41,-9.34,0.25
1005.00,-9.40,0.22
1006.58,-8.08,0.23
1008.17,-9.15,0.20
1009.76,-9.37,0.16
1011.35,-9.42,0.20
1012.93,-9.70,0.25
1014.52,-9.97,0.19
1016.11,-9.97,0.23
1017.69,-10.20,0.19
1019.28,-9.39,0.26
1020.87,-9.50,0.19
1022.46,-10.09,0.21
1024.04,-10.27,0.23
1025.63,-10.59,0.20
1027.22,-10.37,0.26
1028.81,-10.39,0.20
1031.98,-9.46,0.25
1034.44,-9.24,0.24
1036.82,-9.02,0.20
1039.30,-9.08,0.19
1041.77,-8.77,0.22
1044.25,-8.58,0.21
1046.72,-7.84,0.20
1049.20,-7.98,0.22
1051.67,-7.95,0.20
1054.14,-8.08,0.21
1059.09,-9.52,0.26
1063.23,-11.01,0.20
1064.71,-10.49,0.26
1066.20,-9.98,0.20
1067.68,-9.65,0.22
1069.17,-10.06,0.21
1070.65,-9.86,0.32
1072.14,-10.36,0.23
1073.63,-10.70,0.17
1075.11,-11.04,0.34
1076.60,-10.85,0.16
1078.08,-11.04,0.16
1079.57,-10.68,0.17
1081.05,-10.44,0.23
1082.54,-10.27,0.17
1084.03,-10.50,0.17
1085.51,-10.12,0.28
1087.00,-10.21,0.25
1088.94,-9.84,0.26
1091.83,-10.04,0.16
1094.72,-9.33,0.19
