Age [ka BP],stack,std
988.5,-0.2715,0.138813724
993.5,-0.1655,0.110298459
998.5,-0.284333333,0.110210405
1003.5,-0.3025,0.102530483
1008.5,-0.229333333,0.128048168
1013.5,-0.238333333,0.344903368
1018.5,-0.076666667,0.15011107
1023.5,-0.0885,0.123001016
1028.5,-0.234333333,0.107360763
1033.5,-0.266666667,0.098657657
1038.5,-0.392333333,0.090533603
1043.5,-0.562,0.05939697
1048.5,-0.558833333,0.0331147
1053.5,-0.535,0.120208153
1058.5,-0.47325,0.002474874
1063.5,-0.085,0.091923882
1068.5,-0.078666667,0.165122177
1073.5,-0.270333333,0.258573652
1078.5,0.060333333,0.21727939
1083.5,-0.026666667,0.049328829
1088.5,-0.165666667,0.094128016
1093.5,-0.333666667,0.10991057
1098.5,-0.330722222,0.12348373
1103.5,-0.123666667,0.054500765
1108.5,-0.122111111,0.155402822
1113.5,-0.347444444,0.183774117
1118.5,-0.521833333,0.162504103
1123.5,-0.541333333,0.095631236
1128.5,-0.54725,0.117026172
1133.5,-0.399444444,0.1437043
1138.5,-0.274666667,0.118744824
1143.5,-0.2725,0.11627016
1148.5,-0.048666667,0.308196907
1153.5,0.029777778,0.089144909
1158.5,-0.0065,0.138326606
1163.5,0.048666667,0.128784057
1168.5,0.0255,0.153535826
1173.5,-0.020666667,0.210371893
1178.5,-0.115,0.431335137
1183.5,-0.283666667,0.165107036
1188.5,-0.48,0.197989899
1193.5,-0.5275,0.088388348
1198.5,-0.481666667,0.218307887
1203.5,-0.434333333,0.093361305
1208.5,-0.407222222,0.012509256
1213.5,-0.427,0.23993124
1218.5,-0.158,0.438237379
1223.5,-0.033,0.237059064
1228.5,-0.040666667,0.127028868
1233.5,-0.1365,0.047376154
1238.5,-0.2705,0.452891543
1243.5,-0.555833333,0.213310546
1248.5,-0.55,0.110955447
1253.5,-0.532166667,0.021073285
1258.5,-0.296833333,0.121058182
1263.5,-0.359555556,0.052414304
1268.5,-0.182166667,0.076821763
1273.5,-0.033333333,0.105396078
1278.5,-0.0835,0.087944585
1283.5,-0.261777778,0.032524065
1288.5,-0.423666667,0.125161229
1293.5,-0.55175,0.112076425
1298.5,-0.385166667,0.126313433
1303.5,-0.287666667,0.33141565
1308.5,-0.109166667,0.14036411
1313.5,-0.1075,0.031819805
1318.5,-0.116666667,0.147507062
1323.5,-0.400444444,0.171110859
1328.5,-0.469333333,0.161991769
1333.5,-0.513444444,0.057639043
1338.5,-0.43275,0.046315494
1343.5,-0.374,0.170361381
1348.5,-0.000333333,0.144586767
1353.5,0.035,0.09578622
1358.5,-0.136666667,0.183847763
1363.5,-0.258333333,0.025927249
1368.5,-0.353833333,0.103267049
1373.5,-0.415166667,0.095000439
1378.5,-0.3735,0.030405592
1383.5,-0.272,0.024041631
1388.5,-0.11725,0.018031223
1393.5,0.085,0.126194295
1398.5,-0.057833333,0.175225807
1403.5,-0.312166667,0.105849343
1408.5,-0.356833333,0.161802606
1413.5,-0.399666667,0.091762374
1418.5,-0.308,0.158357191
1423.5,-0.217166667,0.197431212
1428.5,0.033666667,0.156781164
1433.5,0.057,0.092666067
1438.5,-0.120777778,0.03379075
1443.5,-0.224333333,0.144035875
1448.5,-0.3985,0.198297126
1453.5,-0.5275,0.095459415
1458.5,-0.447666667,0.072293384
1463.5,-0.362166667,0.077469887
1468.5,0.0245,0.188648483
1473.5,-0.02075,0.085913474
1478.5,0.193,0.078488853
1483.5,0.122333333,0.104576925
1488.5,0.113,0.289684311
1493.5,-0.323666667,0.098996633
1498.5,-0.133,0.038183766
1503.5,-0.18,0.014142136
1508.5,-0.07,0.117898261
1513.5,0.083666667,0.11063604
1518.5,0.141333333,0.204903229
1523.5,-0.316,0.047623524
1528.5,-0.450333333,0.268570909
1533.5,-0.439,0.114551299
1538.5,-0.4075,0.116672619
1543.5,-0.316333333,0.090029625
1548.5,-0.105,0.06726812
1553.5,-0.075166667,0.132627612
1558.5,0.066333333,0.102763482
1563.5,0.084055556,0.034799558
1568.5,-0.0895,0.098287843
1573.5,-0.185388889,0.060391393
1578.5,-0.233666667,0.051420651
1583.5,-0.179,0.058077534
1588.5,-0.102,0.085158675
1593.5,-0.109666667,0.097161378
1598.5,0.053,0.176229963
